Taxa,Gene Region 1,Gene Region 2,Gene Region 3,Gene Region 4,Gene Region 5,Gene Region 6,Gene Region 7,Gene Region 8,Gene Region 9,Gene Region 10,Gene Region 11,Gene Region 12,Gene Region 13,Gene Region 14,Gene Region 15,Gene Region 16,Gene Region 17,Gene Region 18,Gene Region 19,Gene Region 20,Gene Region 21,Gene Region 22,Gene Region 23,Gene Region 24,Gene Region 25,Gene Region 26,Gene Region 27,Gene Region 28,Gene Region 29,Gene Region 30,Gene Region 31,Gene Region 32,Gene Region 33,Gene Region 34,Gene Region 35,Gene Region 36,Gene Region 37,Gene Region 38,Gene Region 39,Gene Region 40,Gene Region 41,Gene Region 42,Gene Region 43,Gene Region 44,Gene Region 45,Gene Region 46,Gene Region 47,Gene Region 48,Gene Region 49,Gene Region 50,Gene Region 51,Gene Region 52,Gene Region 53,Gene Region 54,Gene Region 55,Gene Region 56,Gene Region 57
Acca sellowiana,-,-,-,-,-,-,-,-,-,-,JN562738.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489888.1,-,-,-,-,-,-,-,-,AM234067.1,-,-,-,-,-,AM489973.1,_R_AM489807.1,JX571773.1
Acmena acuminatissima,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_DQ088399.1,-,EF026611.1,DQ088462.1,-,-,-,-,DQ088537.1,-,-
Acmena cf.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AY187095.1,-,-,-,-,-,-,-,-,AY187161.2,-,-,-,-,-,-,-,-
Acmena divaricata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AY187094.1,-,-,-,-,-,-,-,-,AY187160.2,DQ088463.1,-,-,-,-,DQ088538.1,-,-
Acmena graveolens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AY187097.1,-,-,-,-,-,-,_R_DQ088401.1,-,AY187163.2,AY498759.1,-,-,-,-,AF368194.1,-,-
Acmena hemilampra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AY187098.1,-,-,-,-,-,-,-,-,AY187164.2,-,-,-,-,-,DQ088541.1,-,-
Acmena ingens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_DQ088402.1,-,EF026612.1,DQ088466.1,-,-,-,-,DQ088542.1,-,-
Acmena mackinnoniana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AY187099.1,-,-,-,-,-,-,_R_DQ088403.1,-,AY187165.2,DQ088467.1,-,-,-,-,DQ088543.1,-,-
Acmena resa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AY187101.1,-,-,-,-,-,-,-,-,AY187167.2,-,-,-,-,-,-,-,-
Acmena smithii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489889.1,-,-,-,-,-,-,_R_DQ088405.1,-,AM234137.1,AY498760.1,-,-,-,-,AM489974.1,_R_AM489808.1,U26315.2
Acmena sp.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AY187096.1,-,-,-,-,-,-,-,-,AY187162.2,-,-,-,-,-,-,-,-
Acmenosperma claviflorum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AY187103.1,-,-,-,-,-,-,_R_DQ088406.1,-,AY187169.2,DQ088470.1,-,-,-,-,DQ088546.1,-,-
Actinodium cunninghamii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_JQ772505.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AY498761.1,-,-,-,-,AF489394.2,-,AF489338.1
Agonis flexuosa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU850635.1,-,-,-,-,-,-,-,-,DQ499115.1,AY498762.1,-,-,-,-,AF184711.2,-,AF184673.2
Agonis floribunda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF184712.1,-,AF184674.2
Agonis grandiflora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF184713.1,-,AF184675.2
Agonis juniperina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KM064878.1,-,-,-,-,-,KM065218.1,-,-
