Gene Region #,Description,# of OTUs,Aligned Length,Missing Data (%),Taxon Coverage Density
1,"PAL gene for phenylalanine ammonia lyase, partial cds.",4,2148,99.7,0.0
2,"polygalacturonase-inhibiting protein (pgip) gene, partial cds.",5,909,99.6,0.0
3,"subsp. globulus ThioH gene for thioredoxin h, partial cds, representing a pool of 30 individuals.",4,495,99.7,0.0
4,"voucher GBac clone 1 RNA polymerase II second largest subunit (rpb2) gene, exons 19 through 22 and partial cds.",10,527,99.2,0.01
5,"voucher DPFP1B cytochrome b6/f complex subunit VIII (ycf6) gene, partial cds; ycf6-psbM intergenic spacer, complete sequence; and PsbM (psbM) gene, partial cds; chloroplast.",8,1084,99.3,0.01
6,"voucher DPFP1B trnD-trnY intergenic spacer, partial sequence; tRNA-Tyr (trnY) gene, trnY-trnE intergenic spacer, and tRNA-Glu (trnE) gene, complete sequence; and trnE-trnT intergenic spacer, partial sequence; chloroplast.",8,1572,99.3,0.01
7,"voucher DPFP1B psbM-trnD intergenic spacer and tRNA-Asp (trnD) gene, partial sequence; chloroplast.",8,1129,99.3,0.01
8,"voucher NMNH 06-8348 atpF-atpH intergenic spacer, partial sequence; chloroplast.",6,748,99.5,0.0
9,"PsbA (psbA) gene, partial cds; and tRNA-Lys (trnK) gene, partial sequence; chloroplast genes for chloroplast products.",29,399,97.6,0.02
10,"haplotype LFB trnL-trnF intergenic spacer and tRNA-Phe (trnF) gene, partial sequence; chloroplast.",12,260,99.0,0.01
11,"subsp. globulus LEAFY/FLORICAULA homolog (ELF1) gene, complete cds.",7,1656,99.4,0.01
12,"clone NC01 cellulose synthase (CesA1) gene, promoter region and 5' UTR.",10,1132,99.2,0.01
13,"CesA2 gene, promoter region.",11,1242,99.1,0.01
14,"CesA3 gene, promoter region and 5' UTR.",11,1350,99.1,0.01
15,"cellulose synthase (CesA1) gene, promoter region.",11,2072,99.1,0.01
16,"CesA5A (CesA5A) gene, promoter region, 5' UTR and partial cds.",8,1905,99.3,0.01
17,"CesA7 gene, promoter region and 5' UTR.",11,920,99.1,0.01
18,"clone NC100 cellulose synthase (CesA1) gene, promoter region, exon 1, 5' UTR and partial cds.",11,552,99.1,0.01
19,"voucher Junga Jun6 rpl32-trnL intergenic spacer, partial sequence; chloroplast.",42,932,96.6,0.03
20,"voucher NMNH 06-8349 acetyl-CoA carboxylase-D (accD) gene, partial cds; chloroplast.",34,263,97.2,0.03
21,"EglCesA2 mRNA for cellulose synthase catalytic subunit, complete cds.",7,5853,99.4,0.01
22,"voucher Kulin 4-3-Lox psbD-trnT intergenic spacer, partial sequence; chloroplast.",6,1514,99.5,0.0
23,"gene for COBRA-like protein, complete cds, representing a pool of 30 individuals.",4,3287,99.7,0.0
24,"SuSy1 gene for sucrose synthase 1, partial cds.",4,3807,99.7,0.0
